City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
197,fortuna,40.5982,-124.1573,17.51,65,20,0.0,US,1699833228
198,arawa,-6.2132,155.5367,30.59,62,70,1.36,PG,1699833229
199,bel ombre,-4.6167,55.4167,26.91,83,20,1.54,SC,1699833229
200,gorom-gorom,14.4439,-0.2361,27.32,11,54,4.27,BF,1699833230
201,nguigmi,14.2495,13.1092,25.45,23,5,5.06,NE,1699833231
202,saint-philippe,-21.3585,55.7679,19.77,84,62,3.04,RE,1699833232
203,bom jardim,-7.7958,-35.5872,21.12,81,0,2.3,BR,1699833232
204,lauro de freitas,-12.8944,-38.3272,26.01,78,0,4.63,BR,1699833233
205,toba,34.4833,136.85,12.0,71,74,4.02,JP,1699833234
206,weno,7.4515,151.8468,26.97,89,100,4.63,FM,1699833235
207,nizhnyaya omka,55.4338,74.9426,-0.17,90,87,3.11,RU,1699833235
208,kenai,60.5544,-151.2583,-1.62,95,0,1.54,US,1699833236
209,olds,51.7834,-114.102,6.47,41,93,3.6,CA,1699833237
210,aracena,37.894,-6.5612,11.55,93,4,1.5,ES,1699833238
211,ha tinh,18.3333,105.9,24.36,89,62,0.86,VN,1699833239
212,labrador city,52.9463,-66.9114,-6.05,79,100,4.63,CA,1699833043
213,san patricio,28.017,-97.5169,17.13,96,100,4.87,US,1699833240
214,aracatuba,-21.2089,-50.4328,31.22,26,40,1.98,BR,1699833116
215,cozumel,20.5083,-86.9458,28.3,92,18,3.58,MX,1699833117
216,konarka,19.9,86.1167,21.22,79,83,3.64,IN,1699833242
217,challapata,-18.9,-66.7667,16.29,33,63,2.91,BO,1699833244
218,chibougamau,49.9168,-74.3659,-5.21,93,100,2.06,CA,1699833246
219,west bay,19.3667,-81.4167,29.04,83,20,6.17,KY,1699833246
220,severo-yeniseyskiy,60.3725,93.0408,-4.12,98,100,0.89,RU,1699832992
221,rio grande,-32.035,-52.0986,17.06,96,100,3.76,BR,1699833185
222,baise city,23.8997,106.6133,14.21,84,100,1.31,CN,1699833249
223,suoyarvi,62.0833,32.35,-0.92,88,100,6.15,RU,1699833249
224,mugumu,-1.85,34.7,16.67,89,90,1.38,TZ,1699833250
225,saddiqabad,28.3062,70.1307,19.48,34,47,2.57,PK,1699833251
226,khark,29.2614,50.3306,26.81,58,91,3.97,IR,1699833252
227,la ronge,55.1001,-105.2842,2.14,69,20,5.14,CA,1699833253
228,mokhotlong,-29.2894,29.0675,9.22,74,8,1.13,LS,1699833254
229,oban,56.4127,-5.4706,5.77,92,97,2.9,GB,1699833255
230,dzhalagash,45.0833,64.6667,3.15,77,14,1.95,KZ,1699833255
231,yanchep,-31.55,115.6833,20.53,71,93,5.04,AU,1699833256
232,hami,42.8,93.45,2.24,31,99,0.57,CN,1699833257
233,juva,56.4368,57.9478,1.25,84,100,2.26,RU,1699833257
234,santa terezinha,-29.9002,-50.0904,20.12,98,99,4.88,BR,1699833258
235,cidreira,-30.1811,-50.2056,19.45,98,100,7.0,BR,1699833259
236,hotan,37.0997,79.9269,3.22,29,0,0.88,CN,1699833260
237,belmonte,-15.8631,-38.8828,24.84,78,4,3.42,BR,1699833108
238,embi,48.8264,58.1442,2.8,88,39,2.99,KZ,1699833261
239,barbacoas,1.6715,-78.1398,25.25,95,83,0.65,CO,1699833262
240,fort bragg,35.139,-79.006,13.23,70,40,2.06,US,1699833263
241,gadzhiyevo,69.2551,33.3362,-9.54,97,96,3.94,RU,1699833264
242,cannonvale,-20.2833,148.7,26.66,54,39,5.43,AU,1699833264
243,khovd,48.0056,91.6419,-5.4,92,99,0.49,MN,1699833122
244,padang,-0.9492,100.3543,25.03,89,67,1.0,ID,1699833005
245,kochenevo,55.0218,82.202,2.66,98,100,4.12,RU,1699833267
246,newman,37.3138,-121.0208,25.69,40,64,0.89,US,1699833268
247,yegorlykskaya,46.5656,40.6562,10.85,75,87,5.29,RU,1699833268
248,lorengau,-2.0226,147.2712,29.19,64,72,1.75,PG,1699832972
249,makurazaki,31.2667,130.3167,12.08,66,100,10.73,JP,1699833270
250,cornelius,35.4868,-80.8601,12.27,69,8,0.45,US,1699833271
251,omdurman,15.6445,32.4777,31.91,26,65,3.26,SD,1699833272
252,kununurra,-15.7667,128.7333,29.99,79,75,3.09,AU,1699833273
253,shangjie,26.0864,119.1847,15.65,88,100,1.35,CN,1699833274
254,malax,62.9423,21.5731,-1.03,96,100,3.6,FI,1699833276
255,neiafu,-18.65,-173.9833,25.38,94,100,5.66,TO,1699833277
256,lanxi,29.2195,119.477,7.38,73,40,1.63,CN,1699833277
257,concordia,-31.393,-58.0209,22.1,82,97,1.79,AR,1699833058
258,as sulayyil,20.4607,45.5779,19.14,44,18,3.42,SA,1699833279
259,smithers,54.7804,-127.1743,-0.82,93,100,3.6,CA,1699833015
260,chernyshevskiy,63.0128,112.4714,-18.13,100,100,1.47,RU,1699833280
261,gamba,-2.65,10.0,25.14,87,99,1.95,GA,1699833281
262,haiku-pauwela,20.9219,-156.3051,28.01,57,20,12.35,US,1699833282
263,nikolayevsk-on-amure,53.1406,140.73,-7.44,87,90,5.81,RU,1699833283
264,minas de marcona,-15.2119,-75.1103,14.79,90,86,6.67,PE,1699833283
265,sompeta,18.9333,84.6,22.87,73,48,2.93,IN,1699833284
266,puerto cabezas,14.0351,-83.3888,26.33,92,87,4.51,NI,1699833285
267,grand baie,-20.0182,57.5802,21.92,72,0,1.34,MU,1699833286
268,kuta,-8.7233,115.1723,25.97,94,75,1.54,ID,1699833287
269,den burg,53.0542,4.7972,6.65,98,100,3.09,NL,1699833287
270,ceeldheer,3.8488,47.1806,26.59,82,96,2.88,SO,1699833288
271,awjilah,29.1081,21.2869,19.09,43,0,0.4,LY,1699833290
272,al jawf,29.5,38.75,22.8,34,67,3.03,SA,1699833290
273,yarmouth,41.7057,-70.2286,5.03,69,100,4.47,US,1699833291
274,alvaraes,-3.2208,-64.8042,27.93,79,75,0.7,BR,1699833292
275,undurkhaan,47.3194,110.6556,-13.03,80,3,3.5,MN,1699833292
276,new norfolk,-42.7826,147.0587,17.62,43,17,3.45,AU,1699833293
277,kayangel,8.0823,134.7173,29.4,72,100,7.49,PW,1699833294
278,kingston,17.997,-76.7936,30.53,76,20,7.72,JM,1699833014
279,mao,39.8885,4.2658,17.31,100,0,3.09,ES,1699833296
280,ancud,-41.8697,-73.8203,7.74,72,34,3.61,CL,1699833296
281,saint-denis,48.9167,2.3333,13.27,86,100,5.14,FR,1699833298
282,christchurch,-43.5333,172.6333,25.11,31,54,8.75,NZ,1699833299
283,margarita belen,-27.2616,-58.9722,30.97,67,79,6.52,AR,1699833299
284,port saint john's,-31.6229,29.5448,16.68,70,48,3.4,ZA,1699833300
285,gargalianoi,37.0667,21.6333,16.34,83,78,5.11,GR,1699833301
286,berdigestyakh,62.0989,126.6992,-16.44,95,100,4.01,RU,1699833302
287,caleta de carquin,-11.0925,-77.6267,20.06,80,58,5.27,PE,1699833303
288,ha giang,22.8333,104.9833,21.21,99,100,1.2,VN,1699833303
289,chulym,55.0997,80.9572,1.97,99,100,2.19,RU,1699833305
290,taoudenni,22.6783,-3.9836,26.44,17,1,6.21,ML,1699833305
291,rafraf,37.1904,10.1837,19.18,69,12,9.55,TN,1699833306
292,mcalester,34.9334,-95.7697,16.05,51,0,0.0,US,1699833307
293,nar'yan-mar,67.6713,53.087,-11.61,94,51,2.24,RU,1699833308
294,jand,33.4299,72.0193,17.56,52,0,1.06,PK,1699833309
295,uliastay,47.7417,96.8444,-12.74,63,41,2.72,MN,1699833309
296,nizhneudinsk,54.9076,99.0276,-10.1,89,45,1.44,RU,1699833310
297,ilha de mocambique,-15.0342,40.7358,26.43,79,6,3.08,MZ,1699833311
298,rhinelander,45.6366,-89.4121,8.09,61,40,2.57,US,1699833312
299,egilsstadir,65.2653,-14.3948,-3.05,86,40,1.54,IS,1699833313
300,bayanhongor,46.7167,100.1167,-16.72,65,33,1.58,MN,1699833314
301,kontiolahti,62.7602,29.8471,-0.7,84,100,4.63,FI,1699833314
302,esqueda,30.7167,-109.5833,17.92,45,0,2.92,MX,1699833315
303,bikenibeu village,1.3673,173.1241,27.98,89,100,1.03,KI,1699833316
304,road town,18.4167,-64.6167,28.05,78,40,5.14,VG,1699833096
305,waajid,3.8096,43.2463,24.9,77,49,4.47,SO,1699833317
306,terra santa,-2.1042,-56.4869,30.23,45,61,1.6,BR,1699833318
307,fort st. john,56.2499,-120.8529,1.94,55,75,2.06,CA,1699833319
308,monywa,22.1167,95.1333,20.94,84,23,2.8,MM,1699833291
309,tazovsky,67.4667,78.7,-10.65,95,91,5.16,RU,1699833247
310,muskogee,35.5834,-95.3336,17.12,39,0,2.06,US,1699833322
311,kaa-khem,51.6833,94.7333,-13.66,88,98,0.71,RU,1699833322
312,flying fish cove,-10.4217,105.6791,24.82,88,75,4.12,CX,1699833323
313,santa marta,11.2408,-74.199,31.05,72,40,6.26,CO,1699833104
314,malanje,-9.5402,16.341,17.35,98,96,0.51,AO,1699833325
315,zhumysker,49.3333,49.4,8.06,60,99,8.4,KZ,1699833326
316,sabang,5.8933,95.3214,27.68,76,97,4.98,ID,1699833327
317,whakatane,-37.9585,176.9854,23.82,67,3,2.24,NZ,1699833283
318,sisimiut,66.9395,-53.6735,-8.66,86,99,2.96,GL,1699833328
319,bereznik,62.8551,42.7072,-2.02,85,88,5.23,RU,1699833329
320,selfoss,63.9331,-20.9971,3.36,64,100,7.58,IS,1699833330
321,carnarvon,-24.8667,113.6333,22.03,74,17,4.05,AU,1699833331
322,thabazimbi,-24.5917,27.4116,24.02,44,71,2.22,ZA,1699833332
323,shumikha,55.2261,63.2961,0.48,90,41,2.65,RU,1699833332
324,kaoma,-14.7833,24.8,17.64,86,66,0.12,ZM,1699833333
325,cabedelo,-6.9811,-34.8339,26.37,76,0,4.16,BR,1699833334
326,hagere hiywet,8.9833,37.85,13.0,84,30,1.99,ET,1699833335
327,acapulco de juarez,16.8634,-99.8901,30.9,70,0,5.66,MX,1699833234
328,lusambo,-4.9667,23.45,19.18,99,88,0.69,CD,1699833336
329,mbanza kongo,-6.267,14.2401,20.68,96,100,0.43,AO,1699833337
330,arkalyk,50.2486,66.9114,3.81,94,93,2.43,KZ,1699833338
331,talnakh,69.4865,88.3972,-1.55,96,100,4.41,RU,1699833237
332,lompoc,34.6391,-120.4579,23.23,43,0,5.66,US,1699833340
333,kruisfontein,-34.0033,24.7314,11.47,79,1,3.7,ZA,1699833341
334,mil'kovo,55.6078,37.7956,7.22,95,99,6.21,RU,1699833342
335,shingu,33.7333,135.9833,9.93,71,54,4.46,JP,1699833343
336,colonia menno,-22.3667,-59.8167,38.13,23,57,3.94,PY,1699833344
337,kuala terengganu,5.3302,103.1408,24.97,100,20,1.54,MY,1699833346
338,mallammaduri,12.565,9.9573,23.9,16,8,4.21,NG,1699833346
339,xinyuan,37.3,99.0,-8.66,35,0,2.75,CN,1699833347
340,mount pearl,47.5166,-52.7813,-0.48,88,100,6.69,CA,1699833348
341,jinghong,21.991,100.7341,19.52,94,92,0.73,CN,1699833348
342,kotido,2.9806,34.1331,22.87,66,90,4.84,UG,1699833349
343,kavieng,-2.5744,150.7967,28.47,68,100,1.43,PG,1699833232
344,hithadhoo,-0.6,73.0833,27.61,75,73,3.14,MV,1699833351
345,mugia,43.1041,-9.2179,19.39,92,94,13.12,ES,1699833348
346,les cayes,18.2,-73.75,26.94,82,13,2.53,HT,1699833352
347,laojunmiao,39.8333,97.7333,-2.06,41,4,2.11,CN,1699833353
348,al ghayzah,16.2079,52.176,26.03,71,0,0.3,YE,1699833354
349,myanaung,18.2833,95.3167,23.08,93,96,2.73,MM,1699833355
350,st. john's,47.5649,-52.7093,-0.02,89,100,6.69,CA,1699833152
351,katsuren-haebaru,26.3369,127.8719,22.01,68,100,5.14,JP,1699833356
352,maragogi,-9.0122,-35.2225,24.17,73,5,2.45,BR,1699833357
353,qarazhal,48.0078,70.7903,2.44,93,100,2.9,KZ,1699833358
